reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0","LIST|COUNT,<0,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,1226,37.80841827392578
"LIST|FILTER,<0,0|ZIPWITH,*,0,1","LIST|FILTER,<0,0|ZIPWITH,*,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,1784,85.39843559265137
"LIST|FILTER,<0,0|ZIPWITH,*,1,1","LIST|FILTER,<0,0|ZIPWITH,*,1,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1763,85.7396125793457
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,446,14.75238800048828
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,560,17.6544189453125
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,104,3.0002593994140625
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,522,19.70863342285156
"LIST|FILTER,ODD,0|MAP,*4,1","LIST|FILTER,ODD,0|MAP,*4,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1455,46.69404029846192
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.5,0.5,0.5,0.5,0.5,1,0.9987354278564452
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|SCAN1L,-,0|TAKE,1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,490,20.24388313293457
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|SCAN1L,max,0|TAKE,1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,1272,45.15933990478516
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|MAP,/2,0|REVERSE,0",True,0.0,0.5,0.5,0.5,0.5,0.5,73,4.906892776489258
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|ZIPWITH,*,0,0|SCAN1L,*,0",True,0.0,0.5,0.5,0.5,0.5,0.5,23,1.0111331939697266
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|ZIPWITH,min,0,0|ZIPWITH,+,2,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,10,0.0
"LIST|LIST|COUNT,<0,0|TAKE,2,1","LIST|LIST|COUNT,<0,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,5003,217.68546104431152
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0","LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,3658,146.08168601989746
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0","LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,3649,158.68568420410156
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2","LIST|LIST|FILTER,>0,1|ZIPWITH,+,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,4747,180.72056770324707
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2","LIST|LIST|FILTER,ODD,1|ZIPWITH,max,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,2983,106.4152717590332
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|ZIPWITH,+,0,0|FILTER,ODD,3",True,0.0,0.6,0.6,0.6,0.6,0.6,95,2.91299819946289
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|ZIPWITH,+,0,0|FILTER,ODD,3",True,0.0,0.6,0.6,0.6,0.6,0.6,95,4.831790924072266
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",True,1.0,1.0,1.0,1.0,1.0,1.0,221,13.797521591186523
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",True,0.0,0.6,0.6,0.6,0.6,0.6,206,5.334138870239258
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0","LIST|LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,+,3,2",True,0.0,0.6,0.6,0.6,0.6,0.6,5654,234.44700241088867
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,*,3,0",True,0.0,0.8,0.8,0.6,0.8,0.75,4604,163.46025466918945
