reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,32.9132080078125
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,31.91566467285156
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,25.171518325805664
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,590,10.005712509155272
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,835,18.744707107543945
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,354,7.740974426269531
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,842,21.32105827331543
"LIST|FILTER,ODD,0|MAP,*4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,19.32048797607422
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.5,0.5,0.5,0.5,0.5,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,0.0,0.5,0.5,0.5,0.5,0.5,437,9.31859016418457
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,0.0,0.5,0.5,0.5,0.5,0.5,402,7.975101470947266
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,0.0,0.5,0.5,0.5,0.5,0.5,6,1.007795333862305
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,0.0,0.5,0.5,0.5,0.5,0.5,35,1.003265380859375
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,17,0.9922981262207032
"LIST|LIST|COUNT,<0,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,34.51824188232422
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,18.399715423583984
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,20.39361000061035
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,27.55618095397949
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,28.836488723754883
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.8,0.6,0.6,0.6,0.65,22,0.0
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.6,0.6,0.6,0.6,0.6,22,0.8995532989501953
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,20.958423614501957
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,16.71767234802246
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,34.03043746948242
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,30.049562454223636
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,17.312049865722656
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,23.31113815307617
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,24.29676055908203
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,18.296003341674805
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,23.407697677612305
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,19.535541534423828
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,24.37615394592285
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,26.37791633605957
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,19.260168075561523
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,24.265527725219727
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,25.34174919128418
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1001,25.34961700439453
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,1001,32.9890251159668
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,39.22533988952637
"LIST|LIST|TAIL,0|TAKE,2,1","LIST|LIST|TAIL,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,189,7.368326187133789
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,21.967172622680664
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,37.110328674316406
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,26.22342109680176
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,33.539772033691406
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,32.54270553588867
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1001,19.483089447021484
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,20.19071578979492
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,21.21710777282715
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,30.316829681396484
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,21.21710777282715
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,32.3178768157959
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1002,21.09837532043457
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,1000,32.50622749328613
