reference,solution,solved,nb_steps,wall_ms,best_partial_solution,best_partial_match_fraction
"LIST|COUNT,<0,0|TAKE,1,0",None,False,1003,140.58446884155273,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.4
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",None,False,1000,191.76936149597168,"LIST|ZIPWITH,*,0,0|FILTER,<0,1",0.4
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",None,False,1000,189.1019344329834,None,0.0
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,296,46.66709899902344,None,
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,552,74.3567943572998,None,
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,128,18.082380294799805,None,
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,706,95.94559669494629,None,
"LIST|FILTER,ODD,0|MAP,*4,1",None,False,1002,149.05381202697754,None,0.0
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,1,0.0,None,
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|SCAN1L,-,0|TAKE,1,2",True,498,103.68609428405762,None,
"LIST|INT|SCAN1L,max,0|TAKE,1,2",None,False,1006,152.96053886413574,"LIST|INT|MAP,*-1,0|SCAN1L,max,0",0.8
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|ZIPWITH,min,0,0|REVERSE,2",True,72,10.326147079467773,None,
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|ZIPWITH,*,0,0|SCAN1L,*,0",True,23,3.9992332458496094,None,
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|ZIPWITH,min,0,0|ZIPWITH,+,2,2",True,10,1.0004043579101562,None,
"LIST|LIST|COUNT,<0,0|TAKE,2,1",None,False,1000,129.64224815368652,"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,max,2,1",0.6
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",None,False,1000,144.93060111999512,"LIST|LIST|ZIPWITH,min,0,0",0.2
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",None,False,1000,130.2340030670166,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",0.2
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",None,False,1001,141.9064998626709,"LIST|LIST|ZIPWITH,-,0,0|FILTER,>0,2",0.2
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",None,False,1000,120.91827392578125,"LIST|LIST|ZIPWITH,min,0,0",0.2
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",True,119,20.79916000366211,None,
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",True,119,25.146961212158203,None,
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",True,221,53.55072021484375,None,
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",True,206,42.51551628112793,None,
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",None,False,1000,185.44459342956543,None,0.0
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",None,False,1000,184.2799186706543,None,0.0
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",None,False,1000,175.68278312683105,None,0.0
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3","LIST|LIST|LIST|ZIPWITH,-,0,2|ZIPWITH,+,3,1",True,420,80.01852035522461,None,
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1","LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",True,420,54.25143241882324,None,
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",True,5,0.9996891021728516,None,
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",None,False,1000,114.48121070861816,None,0.0
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",True,148,32.84883499145508,None,
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",None,False,1000,159.02137756347656,None,0.0
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",None,False,1000,157.40132331848145,None,0.0
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",None,False,1000,133.1496238708496,None,0.0
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",None,False,1000,166.21088981628418,None,0.0
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",None,False,1000,203.33385467529297,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",0.2
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",None,False,1000,168.69187355041504,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",0.2
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",None,False,1000,173.8262176513672,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",0.2
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",None,False,1000,186.295747756958,None,0.0
"LIST|LIST|TAIL,0|TAKE,2,1",None,False,1000,217.8642749786377,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,1,2",0.2
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2",None,False,1000,172.00994491577148,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,0,0",0.2
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,230,59.75031852722168,None,
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,242,30.51471710205078,None,
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,35.11786460876465,None,
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",True,157,39.115190505981445,None,
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",None,False,1000,151.14545822143555,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",0.2
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2","LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",True,806,143.37849617004395,None,
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,41.72706604003906,None,
