reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,102.56576538085938
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|DROP,1,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,135.1792812347412
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,165.24100303649902
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,*-1,0|FILTER,<0,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,590,56.58555030822754
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|FILTER,>0,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,835,138.12899589538574
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,+1,0|FILTER,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,354,46.89931869506836
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|FILTER,>0,0|COUNT,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,842,146.10910415649414
"LIST|FILTER,ODD,0|MAP,*4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,208.14919471740723
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.5,0.5,0.5,0.5,0.5,LIST|INT,0.5,0.5,0.5,0.5,0.5,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|TAKE,1,0|SCAN1L,-,2",0.5,0.5,0.5,0.5,0.5,437,68.95327568054199
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|TAKE,1,0|SCAN1L,max,2",0.5,0.5,0.5,0.5,0.5,402,60.25886535644531
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|HEAD,0|REVERSE,0",0.5,0.5,0.5,0.5,0.5,6,0.0
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|HEAD,0|SCAN1L,*,0",0.5,0.5,0.5,0.5,0.5,35,0.0
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|HEAD,0|MAP,*2,0",0.5,0.5,0.5,0.5,0.5,17,7.862567901611328
"LIST|LIST|COUNT,<0,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|DROP,2,1",0.5,0.5,0.5,0.5,0.5,1002,172.98483848571777
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|TAIL,1|DROP,2,0",0.5,0.5,0.5,0.5,0.5,1002,168.5616970062256
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|REVERSE,1",0.5,0.5,0.5,0.5,0.5,1002,161.67521476745603
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.5,0.5,0.5,0.5,0.5,1002,205.13367652893064
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.5,0.5,0.5,0.5,0.5,1002,182.8176975250244
