reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,117.7377700805664
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|DROP,1,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,148.2396125793457
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,162.06002235412598
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,*-1,0|FILTER,<0,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,590,69.88191604614258
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|FILTER,>0,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,835,82.65018463134766
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,+1,0|FILTER,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,354,35.517215728759766
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|FILTER,>0,0|COUNT,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,842,70.33491134643555
"LIST|FILTER,ODD,0|MAP,*4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,129.70662117004397
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.5,0.5,0.5,0.5,0.5,LIST|INT,0.5,0.5,0.5,0.5,0.5,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|TAKE,1,0|SCAN1L,-,2",0.5,0.5,0.5,0.5,0.5,437,49.90386962890625
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|TAKE,1,0|SCAN1L,max,2",0.5,0.5,0.5,0.5,0.5,402,32.831430435180664
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|HEAD,0|REVERSE,0",0.5,0.5,0.5,0.5,0.5,6,0.0
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|HEAD,0|SCAN1L,*,0",0.5,0.5,0.5,0.5,0.5,35,0.0
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|INT|HEAD,0|MAP,*2,0",0.5,0.5,0.5,0.5,0.5,17,0.0
"LIST|LIST|COUNT,<0,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|DROP,2,1",0.5,0.5,0.5,0.5,0.5,1002,108.32977294921876
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|TAIL,1|DROP,2,0",0.5,0.5,0.5,0.5,0.5,1002,92.35382080078124
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|REVERSE,1",0.5,0.5,0.5,0.5,0.5,1002,76.29227638244629
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.5,0.5,0.5,0.5,0.5,1002,121.15073204040527
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.5,0.5,0.5,0.5,0.5,1002,117.99335479736328
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.8,0.6,0.6,0.6,0.65,"LIST|LIST|INT|HEAD,0|DROP,2,0",0.8,0.6,0.6,0.6,0.65,22,0.0
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.6,0.6,0.6,0.6,0.6,"LIST|LIST|INT|HEAD,0|DROP,2,0",0.6,0.6,0.6,0.6,0.6,22,0.0
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,186.9235038757324
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|LIST|HEAD,0|ZIPWITH,-,2,2",0.6,0.6,0.6,0.6,0.6,1000,157.0875644683838
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,99.71880912780762
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,181.61416053771973
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,114.72582817077635
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,111.31906509399414
