reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.0,0.0,0.0,0.0,0.0,1000,152.5115966796875
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|DROP,1,0",0.0,0.0,0.0,0.0,0.0,1000,140.34700393676758
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,244.6627616882324
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|FILTER,<0,1",0.0,0.0,0.0,0.0,0.0,590,84.67817306518555
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|FILTER,>0,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,835,166.77474975585938
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,+1,0|FILTER,ODD,1",0.0,0.0,0.0,0.0,0.0,354,61.95211410522461
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,>0,0|COUNT,ODD,1",0.0,0.0,0.0,0.0,0.0,842,125.80347061157228
"LIST|FILTER,ODD,0|MAP,*4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,142.66490936279297
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.0,0.0,0.0,0.0,0.0,LIST|INT,0.0,0.0,0.0,0.0,0.0,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|TAKE,1,0|SCAN1L,-,2",0.0,0.0,0.0,0.0,0.0,437,110.59236526489258
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|TAKE,1,0|SCAN1L,max,2",0.0,0.0,0.0,0.0,0.0,402,41.23663902282715
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|HEAD,0|REVERSE,0",0.0,0.0,0.0,0.0,0.0,6,2.0084381103515625
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|HEAD,0|SCAN1L,*,0",0.0,0.0,0.0,0.0,0.0,35,6.800651550292969
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|HEAD,0|MAP,*2,0",0.0,0.0,0.0,0.0,0.0,17,2.0143985748291016
"LIST|LIST|COUNT,<0,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|DROP,2,1",0.0,0.0,0.0,0.0,0.0,1002,130.78999519348145
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|TAIL,1|DROP,2,0",0.0,0.0,0.0,0.0,0.0,1002,133.59403610229492
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|REVERSE,1",0.0,0.0,0.0,0.0,0.0,1002,124.19486045837402
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.0,0.0,0.0,0.0,0.0,1002,139.9071216583252
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.0,0.0,0.0,0.0,0.0,1002,119.82202529907228
